# ひらがなから弾が発射される座標と方向についてまとめたテキストファイル
# フォーマット：ひらがな　x座標　y座標　方向
# 方向: 0=左上 1=左 2=左下 3=下 4=右下 5=右 6=右上
# 左上を基準（0, 0）とした相対的なピクセル座標 (値は0からCELL_SIZE-1の間となる)
a 37 17 5
a 40 57 3
a 32 57 5
i 27 42 6
i 45 52 2
u 39 16 4
u 29 57 2
e 31 20 4
e 55 55 5
o 56 25 4
o 38 56 1
o 31 17 5
ka 57 24 4
ka 28 50 0
ka 5 40 2
ga 54 24 4
ga 26 50 0
ga 5 40 2
ki 45 13 5
ki 44 25 5
ki 34 39 1
ki 48 57 5
gi 39 14 5
gi 39 25 5
gi 29 39 1
gi 42 56 5
ku 44 54 4
gu 33 54 4
ke 53 18 5
ke 23 41 6
ke 33 53 1
ge 47 20 5
ge 19 44 6
ge 28 56 1
ko 43 21 2
ko 54 41 6
go 37 23 2
go 48 44 6
sa 48 14 5
sa 28 31 1
sa 48 57 5
za 44 17 5
za 44 56 5
za 25 33 1
shi 45 38 6
ji 43 41 6
su 12 54 1
su 52 18 5
zu 7 57 1
zu 46 18 5
se 54 19 5
se 56 52 5
se 31 29 0
ze 27 32 0
ze 48 52 5
ze 46 22 5
so 53 50 5
zo 53 54 5
ta 55 21 5
ta 53 36 5
ta 53 56 5
ta 7 56 2
da 48 21 5
da 45 36 5
da 46 56 5
da 5 55 2
chi 48 17 5
chi 18 56 1
di 40 18 5
di 13 55 1
tsu 24 44 1
du 22 47 1
te 53 48 5
de 52 56 5
to 53 54 5
to 25 23 4
do 21 26 4
do 48 56 5
na 51 53 3
na 54 31 4
na 32 17 5
na 11 29 2
ni 53 15 5
ni 53 45 5
ni 23 42 6
nu 56 48 3
nu 39 49 5
ne 19 55 3
ne 56 53 3
no 54 52 3
ha 53 15 5
ha 54 53 3
ha 21 40 6
ba 45 19 5
ba 46 55 3
ba 18 42 6
pa 47 19 5
pa 48 55 3
pa 19 43 6
hi 56 34 4
bi 50 34 4
pi 52 35 4
fu 26 19 2
fu 6 48 2
fu 21 57 1
fu 57 50 4
bu 26 20 2
bu 20 56 1
bu 5 47 2
bu 56 49 4
pu 27 21 2
pu 7 48 2
pu 22 56 1
pu 56 49 4
he 55 54 4
be 53 55 4
pe 55 54 4
ho 46 16 5
ho 47 29 5
ho 49 57 3
ho 18 46 6
bo 43 14 5
bo 44 28 5
bo 46 57 3
bo 16 46 6
po 46 16 5
po 47 29 5
po 48 57 3
po 17 46 6
ma 46 28 5
ma 47 16 5
ma 49 57 3
mi 36 51 3
mi 56 33 5
mu 27 14 5
mu 50 23 4
mu 51 41 6
me 49 53 1
me 43 52 5
mo 55 44 6
mo 38 31 5
mo 38 17 5
ya 43 15 4
ya 45 57 4
ya 39 34 1
yu 20 44 1
yu 37 58 3
yo 52 52 3
yo 45 20 5
ra 28 20 1
ra 22 55 1
ri 23 55 1
ri 29 27 6
ru 45 46 4
re 19 54 3
re 57 55 5
ro 26 54 1
wa 20 55 3
wa 37 52 1
wo 51 18 5
wo 44 44 3
wo 54 54 5
n 54 46 6
