# 各文字の倍率を設定したテキストファイル
# 書式:フォルダ名/画像名  横の倍率  縦の倍率
# デフォルトは1.0 1.0
black/0 0.5 0.65
black/1 0.1 0.65
black/2 0.65 0.65
black/3 0.55 0.7
black/4 0.65 0.7
black/5 0.4 0.7
black/6 0.5 0.7
black/7 0.45 0.7
black/8 0.55 0.75
black/9 0.45 0.75
black/ellipsis 0.8 0.1
black/arrow_down 0.5 0.85
black/xa 0.9 0.95
black/a 0.85 0.85
black/xi 0.8 0.75
black/i 0.7 0.65
black/xu 0.55 0.9
black/u 0.45 0.8
black/xe 0.85 0.85
black/e 0.75 0.75
black/xo 0.9 0.9
black/o 0.75 0.75
black/ka 0.75 0.75
black/ga 0.75 0.75
black/ki 0.55 0.75
black/gi 0.75 0.8
black/ku 0.4 0.75
black/gu 0.75 0.75
black/ke 0.7 0.7
black/ge 0.8 0.75
black/ko 0.65 0.65
black/go 0.75 0.75
black/sa 0.7 0.7
black/za 0.7 0.75
black/shi 0.45 0.7
black/ji 0.4 0.7
black/su 0.7 0.7
black/zu 0.7 0.7
black/se 0.75 0.7
black/ze 0.85 0.75
black/so 0.75 0.7
black/zo 0.8 0.8
black/ta 0.75 0.75
black/da 0.85 0.75
black/chi 0.55 0.7
black/di 0.7 0.7
black/xtu 0.9 0.75
black/tsu 0.75 0.45
black/du 0.8 0.55
black/te 0.6 0.55
black/de 0.65 0.6
black/to 0.6 0.6
black/do 0.65 0.65
black/na 0.75 0.75
black/ni 0.7 0.7
black/nu 0.8 0.55
black/ne 0.75 0.75
black/no 0.75 0.6
black/ha 0.65 0.65
black/ba 0.75 0.75
black/pa 0.8 0.8
black/hi 0.8 0.8
black/bi 0.75 0.75
black/pi 0.75 0.75
black/fu 0.8 0.8
black/bu 0.75 0.8
black/pu 0.8 0.8
black/he 0.7 0.7
black/be 0.75 0.75
black/pe 0.75 0.75
black/ho 0.65 0.7
black/bo 0.85 0.85
black/po 0.85 0.85
black/ma 0.7 0.7
black/mi 0.75 0.55
black/mu 0.65 0.75
black/me 0.75 0.65
black/mo 0.75 0.75
black/xya 0.85 0.85
black/ya 0.75 0.75
black/xyu 0.8 0.85
black/yu 0.65 0.9
black/xyo 0.75 0.85
black/yo 0.7 0.75
black/ra 0.5 0.75
black/ri 0.45 0.75
black/ru 0.7 0.7
black/re 0.75 0.75
black/ro 0.75 0.75
black/wa 0.8 0.8
black/wo 0.8 0.8
black/n 0.8 0.8
black/chouon 0.55 0.1
black/migi 0.8 0.8
black/hidari 0.8 0.8
black/exclamation 0.1 0.8
red/a 0.85 0.85
red/i 0.7 0.7
red/u 0.4 0.85
red/e 0.8 0.8
red/o 0.8 0.8
red/ka 0.85 0.85
red/ga 0.85 0.85
red/ki 0.55 0.85
red/gi 0.65 0.8
red/ku 0.45 0.75
red/gu 0.75 0.75
red/ke 0.7 0.7
red/ge 0.8 0.8
red/ko 0.75 0.75
red/go 0.85 0.85
red/sa 0.55 0.85
red/za 0.65 0.8
red/shi 0.45 0.75
red/ji 0.4 0.75
red/su 0.7 0.75
red/zu 0.85 0.85
red/se 0.8 0.7
red/ze 0.8 0.7
red/so 0.7 0.7
red/zo 0.8 0.8
red/ta 0.8 0.8
red/da 0.85 0.8
red/chi 0.7 0.8
red/di 0.85 0.8
red/tsu 0.75 0.45
red/du 0.75 0.55
red/te 0.7 0.55
red/de 0.8 0.8
red/to 0.7 0.75
red/do 0.75 0.8
red/na 0.75 0.75
red/ni 0.75 0.8
red/nu 0.8 0.6
red/ne 0.8 0.8
red/no 0.75 0.7
red/ha 0.75 0.75
red/ba 0.8 0.8
red/pa 0.8 0.8
red/hi 0.8 0.65
red/bi 0.8 0.65
red/pi 0.8 0.65
red/fu 0.85 0.85
red/bu 0.85 0.8
red/pu 0.8 0.8
red/he 0.8 0.8
red/be 0.8 0.8
red/pe 0.8 0.8
red/ho 0.85 0.85
red/bo 0.85 0.85
red/po 0.85 0.85
red/ma 0.6 0.85
red/mi 0.8 0.65
red/mu 0.65 0.85
red/me 0.75 0.75
red/mo 0.8 0.8
red/ya 0.85 0.85
red/yu 0.65 0.9
red/yo 0.7 0.7
red/ra 0.5 0.8
red/ri 0.45 0.8
red/ru 0.7 0.75
red/re 0.85 0.75
red/ro 0.65 0.75
red/wa 0.7 0.8
red/wo 0.75 0.75
red/n 0.75 0.8
